"contestant","total_votes","Albania","Armenia","Australia","Austria","Azerbaijan","Belarus","Belgium","Bosnia.Herzegovina","Bulgaria","Croatia","Cyprus","Czech.Republic","Denmark","Estonia","Finland","France","FYR.Macedonia","Georgia","Germany","Greece","Hungary","Iceland","Ireland","Israel","Italy","Latvia","Lithuania","Malta","Moldova","Montenegro","Netherlands","Norway","Poland","Russia","San.Marino","Serbia","Slovenia","Spain","Sweden","Switzerland","Ukraine","United.Kingdom"
"Ukraine",534,6,10,10,10,20,17,5,19,10,10,7,12,15,15,12,10,18,22,13,8,12,NA,4,20,22,22,18,4,22,8,10,8,24,10,24,19,19,7,7,10,NA,15
"Australia",511,24,5,NA,15,9,7,16,13,13,17,15,1,20,14,15,6,11,9,11,12,15,18,6,15,6,11,17,15,15,4,17,18,17,6,5,12,9,12,24,13,9,14
"Russia",491,14,14,5,11,24,24,6,11,18,14,22,10,4,12,8,7,8,8,12,22,10,15,8,10,8,19,8,14,19,18,3,6,8,NA,17,13,10,12,14,6,12,7
"Bulgaria",307,12,7,18,5,16,5,11,5,NA,1,12,5,6,NA,4,15,20,3,4,7,4,NA,15,14,7,2,2,18,2,7,1,13,6,NA,3,12,12,12,4,1,3,13
"Sweden",261,3,2,NA,15,NA,10,1,NA,3,7,1,14,16,22,22,7,NA,6,18,NA,11,18,7,NA,2,15,7,NA,6,NA,12,7,10,2,4,1,5,1,NA,NA,5,1
"France",257,10,19,13,8,4,NA,16,11,NA,10,13,5,2,3,4,NA,NA,4,NA,10,1,7,3,20,12,NA,4,8,6,6,9,1,1,10,NA,NA,NA,17,11,3,NA,6
"Armenia",249,2,NA,NA,2,NA,10,7,2,20,4,16,8,NA,NA,NA,14,7,12,2,18,1,NA,NA,8,1,6,4,7,12,10,10,NA,2,24,2,5,4,18,4,NA,7,NA
"Poland",229,5,1,NA,12,5,6,12,NA,6,4,2,7,5,1,5,7,2,4,10,3,8,10,10,4,10,5,9,NA,NA,1,10,11,NA,5,7,NA,4,5,10,5,8,10
"Lithuania",200,4,NA,8,1,5,10,NA,NA,1,NA,3,3,11,10,6,NA,NA,10,1,NA,3,4,12,1,2,18,NA,NA,7,2,NA,14,2,NA,8,8,NA,NA,8,7,15,16
"Belgium",181,NA,4,24,5,NA,4,NA,NA,10,NA,NA,2,16,NA,NA,4,8,10,5,NA,NA,6,12,7,NA,NA,5,NA,NA,3,16,7,NA,NA,NA,5,8,NA,NA,10,10,NA
"Netherlands",153,NA,NA,3,6,NA,NA,14,NA,2,NA,NA,7,14,6,10,7,2,NA,7,NA,8,18,8,NA,4,3,NA,3,NA,NA,NA,6,NA,NA,4,5,1,3,7,5,NA,NA
"Malta",153,2,13,6,10,11,5,NA,NA,7,NA,6,6,NA,2,5,4,NA,NA,NA,4,10,4,NA,NA,5,4,NA,NA,3,12,NA,NA,NA,8,3,10,NA,6,7,NA,NA,NA
"Austria",151,NA,4,3,NA,NA,NA,8,5,4,6,NA,4,1,6,10,16,NA,NA,7,1,6,3,1,3,NA,4,1,NA,4,NA,14,NA,4,8,1,NA,6,2,5,14,NA,NA
"Israel",135,3,NA,10,NA,9,NA,2,NA,2,7,5,NA,2,NA,7,3,5,3,12,NA,NA,NA,4,NA,8,2,6,1,NA,NA,7,3,7,NA,NA,7,2,1,NA,8,6,3
"Latvia",132,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,15,2,NA,3,13,2,NA,8,NA,8,5,NA,NA,19,NA,1,NA,NA,3,11,4,6,NA,7,NA,NA,3,13,3
"Italy",124,18,NA,NA,NA,NA,NA,10,NA,NA,3,3,NA,NA,NA,2,12,1,NA,4,NA,NA,NA,6,NA,NA,NA,NA,15,NA,4,6,12,NA,NA,10,NA,1,8,NA,9,NA,NA
"Azerbaijan",117,NA,NA,NA,NA,NA,10,NA,9,1,NA,2,6,NA,NA,NA,NA,1,7,NA,1,7,1,NA,2,NA,3,NA,6,8,7,1,NA,NA,16,NA,NA,NA,2,10,NA,17,NA
"Serbia",115,NA,NA,NA,4,NA,NA,NA,20,5,14,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,17,NA,NA,12,NA,2
"Hungary",108,2,3,NA,NA,11,3,NA,1,NA,8,8,13,NA,NA,NA,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,2,5,NA,10,NA,NA,6,1,3,10,3,10,NA,NA,2,NA
"Georgia",104,NA,18,NA,NA,1,NA,7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,NA,NA,6,2,14,NA,NA,NA,NA,NA,8,5,6,NA,NA,NA,NA,NA,9,12
"Cyprus",96,NA,12,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,7,1,NA,NA,NA,NA,20,5,NA,NA,NA,7,NA,NA,5,2,NA,NA,NA,1,11,5,3,NA,NA,NA,NA,NA,9
"Spain",77,6,3,7,NA,1,NA,NA,NA,4,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,5,NA,NA,4,12,NA,NA,2,8,NA,NA,7,5,NA,NA,NA,NA,NA,2,2,NA,4
"Croatia",73,NA,NA,1,6,NA,NA,NA,14,NA,NA,1,8,NA,NA,NA,NA,11,2,NA,NA,NA,7,NA,3,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,4,8,NA,NA,NA,NA,1
"United Kingdom",62,5,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,6,8,2,NA,NA,NA,NA,NA,NA
"Czech Republic",41,NA,1,NA,4,NA,NA,1,6,NA,10,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA
"Germany",11,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
